"map"
"Číslo pacienta" "subject_id"
"Investigátor" "investigator"
"Pohlaví (1 - muž, 0 - žena)" "sex"
"Datum narození" "birth_date"
"Věk (v celých rocích)" "age"
"Žije 11.12.2021? ano/ne (pokud známe tak datum úmrtí)" "alive_2021_12_11"
"Datum kontroly" "examination_date"
"Váha" "weight"
"Výška" "height"
"BMI" "BMI"
"EKG frekvence" "ekg_freq"
"Pulz" "pulse"
"Systolický tlak" "systolic_BP"
"Diastolický tlak" "diastolic_BP"
"Funkční třída (NYHA)" "NYHA"
"EF na aktuální kontrole (%)" "EF"
"První EFLK v ambulanci pro srdeční selhání" "EF_first_ambulance"
"Úplně původní EFLK (%) při prvním kontaktu s nemocnicí" "EF_first_contact"
"Počet léků celkově (tabletek)" "number_of_pills"
"Diabetik?" "diabetes"
"Diagnóza selhání" "diagnosis"
"NYHA při spiroergometrii subjektivně (nejbližší kontrola v srd. selhání potom)" "NYHA_spiro_subj"
"NYHA při spiroergometrii objektivně" "NYHA_spiro_obj"
"VO2 max" "VO2_max"
"Datum spiroergometrie" "spiro_date"
"M1 (1/0)" "questionnaire_1"
"M2 (1/0)" "questionnaire_2"
"M3 (1/0)" "questionnaire_3"
"M4 (1/0)" "questionnaire_4"
"Na" "lab_Na"
"K" "lab_K"
"Cl" "lab_Cl"
"U"  "lab_U"
"Kr" "lab_Kr"
"Glykémie" "lab_glycaemia"
"NT-proBNP" "lab_NT_proBNP"
"HbA1C" "lab_HbA1c"
"GFR" "lab_GFR"
"Doba od podání léků" "time_since_dose"
# "Ivabradin (0/1)" "has.ivabradin"
# "dávka" "dose.ivabradin"
"Má ACE?" "has.ACEi"
"Jaký ACE?" "which.ACEi"
"Dávka...45" "dose.ACEi"
"Ramipril hladina" "level.ACEi.ramipril"
"Ramiprilát hladina" "level.ACEi.ramiprilate"
"Perindopril hladina" "level.ACEi.perinidopril"
"Perindoprilát hladina" "level.ACEi.perinidoprilate"
"Trandolapril hladina" "level.ACEi.trandolapril"
"Trandolaprilát hladina" "level.ACEi.trandolaprilate"
"Adherentní k ACE? (1 - ano, 2 - ne, 0 - nemá ACE, 3 - neměřitelný ACE)" "adherent.ACEi"
"Má sartan?" "has.sartan"
"Jaký sartan?" "which.sartan"
"Dávka...55" "dose.sartan"
"Telmisartan hladina" "level.sartan.telmisartan"
"Candesartan hladina" "level.sartan.candesartan"
"Losartan hladina" "level.sartan.losartan"
"Losartan M hladina" "level.sartan.losartan_M"
"Valsartan hladina" "level.sartan.valsartan"
"Adherentní k sartanu? (0 - nemá, 1 - ano, 2 - ne, 3 - neměřitelný sartan)" "adherent.sartan"
"Má ARNI?" "has.ARNI"
"Dávka ARNI" "dose.ARNI"
"Hladina sakubitrilu" "level.ARNI.sakubitril"
"Hladina sakubtril M" "level.ARNI.sakubitril_M"
"Hladina valsartanu (z ARNI)" "level.ARNI.valsartan"
"Adherentní k ARNI?" "adherent.ARNI"
"Má furosemid?" "has.furosemide"
"Furosemid dávka" "dose.furosemide"
"Furosemid hladina" "level.furosemide.furosemide"
"Adherentní k furosemidu?" "adherent.furosemide"
"Má MRA? (1 - ano, 0 - ne)" "has.MRA"
"Jaký MRA?" "which.MRA"
"Dávka...74" "dose.MRA"
"Spironolakton hladina" "level.MRA.spironolakton"
"Eplerenon hladina" "level.MRA.eplerenon"
"Adherentní k MRA? (0 - nemá, 1 - ano, 2 - ne, 3 - neměřitelný MRA)" "adherent.MRA"
"Má BB?" "has.BB"
"Jaký BB?" "which.BB"
"Dávka...80" "dose.BB"
"Metoprolol hladina" "level.BB.metoprolol"
"Bisoprolol hladina" "level.BB.bisoprolol"
"Carvedilol hladina" "level.BB.carvedilol"
"Nebivolol hladina" "level.BB.nebivolol"
"Adherentní k BB?" "adherent.BB"
"Má Ca blokátor?" "has.CaB"
"Jaký CaB" "which.CaB"
"Dávka CaB" "dose.CaB"
"Nitrendipin hladina" "level.CaB.nitrendipin"
"Amlodipin hladina" "level.CaB.amlodipin"
"Lercanidipin hladina" "level.CaB.lercanidipin"
"Adherentní k CaB?" "adherent.CaB"
"Má diuretikum? (mimo furosemid a MRA)" "has.other_diuretics"
"Dávka indapamidu" "dose.indapamide"
"Indapamid hladina" "level.indapamide.indapamide"
"Dávka amiloridu" "dose.amilorid"
"Amilorid hladina" "level.amilorid.amilorid"
"Dávka HCTZ" "dose.HCTZ"
"HCHTZ hladina" "level.HCTZ.HCTZ"
"Dávka chlortalidonu" "dose.chlorthalidone"
"Chlorthalidon hladina" "level.chlorthalidone.chlorthalidone"
"Adherentní k diuretikům?" "adherent.other_diuretics"
"Má statin?" "has.statin"
"Jaký statin?" "which.statin"
"Dávka statinu" "dose.statin"
"Atorvastatin hladina" "level.statin.atorvastatin"
"Rosuvastatin hladina" "level.statin.rosuvastatin"
"Adherentní ke statinu?" "adherent.statin"
"Má alfa-blokátor?" "has.alpha_blocker"
"Jaký alfa-blokátor?" "which.alpha_blocker"
"Dávka alfa-blokátoru" "dose.alpha_blocker"
"Doxazosyn haldina" "level.alpha_blocker.doxazosyn"
"Adherentní k alfa-blokátoru?" "adherent.alpha_blocker"
"Má digoxin?" "has.digoxin"
"Dávka digoxinu" "dose.digoxin"
"Hladina digoxinu" "level.digoxin.digoxin"
"Adherentní k digoxinu?" "adherent.digoxin"
